title,console,genre,na_sales,release_date,day2,day3,day4,day5,day6,day7
Red Dead Redemption 2,PS4,Action-Adventure,5.26,2018-10-26,2018-10-27,2018-10-28,2018-10-29,2018-10-30,2018-10-31,2018-11-01
Call of Duty Black Ops IIII,PS4,Shooter,4.05,2018-10-12,2018-10-13,2018-10-14,2018-10-15,2018-10-16,2018-10-17,2018-10-18
Red Dead Redemption 2,XOne,Action-Adventure,3.76,2018-10-26,2018-10-27,2018-10-28,2018-10-29,2018-10-30,2018-10-31,2018-11-01
Call of Duty Black Ops IIII,XOne,Shooter,3.27,2018-10-12,2018-10-13,2018-10-14,2018-10-15,2018-10-16,2018-10-17,2018-10-18
Pokemon Lets Go Pikachu,NS,Role-Playing,2.16,2018-11-16,2018-11-17,2018-11-18,2018-11-19,2018-11-20,2018-11-21,2018-11-22
NBA 2K19,PS4,Sports,1.69,2018-09-11,2018-09-12,2018-09-13,2018-09-14,2018-09-15,2018-09-16,2018-09-17
Madden NFL 19,PS4,Sports,1.63,2018-08-10,2018-08-11,2018-08-12,2018-08-13,2018-08-14,2018-08-15,2018-08-16
NBA 2K19,XOne,Sports,1.47,2018-09-11,2018-09-12,2018-09-13,2018-09-14,2018-09-15,2018-09-16,2018-09-17
Far Cry 5,PS4,Action,1.44,2018-03-27,2018-03-28,2018-03-29,2018-03-30,2018-03-31,2018-04-01,2018-04-02
Madden NFL 19,XOne,Sports,1.33,2018-08-10,2018-08-11,2018-08-12,2018-08-13,2018-08-14,2018-08-15,2018-08-16
Pokemon Lets Go Eevee,NS,Role-Playing,1.22,2018-11-16,2018-11-17,2018-11-18,2018-11-19,2018-11-20,2018-11-21,2018-11-22
Assassins Creed Odyssey,PS4,Action-Adventure,1.18,2018-10-05,2018-10-06,2018-10-07,2018-10-08,2018-10-09,2018-10-10,2018-10-11
Far Cry 5,XOne,Action,1.14,2018-03-27,2018-03-28,2018-03-29,2018-03-30,2018-03-31,2018-04-01,2018-04-02
Battlefield V,XOne,Shooter,1.05,2018-11-20,2018-11-21,2018-11-22,2018-11-23,2018-11-24,2018-11-25,2018-11-26
Assassins Creed Odyssey,XOne,Action-Adventure,0.91,2018-10-05,2018-10-06,2018-10-07,2018-10-08,2018-10-09,2018-10-10,2018-10-11
MLB The Show 18,PS4,Sports,0.86,2018-03-27,2018-03-28,2018-03-29,2018-03-30,2018-03-31,2018-04-01,2018-04-02
