Date,EVENT_TYPE,BEGIN_LAT,BEGIN_LON
2018-6-6,Hail,41.9,-102.2
2018-6-6,Hail,42.0,-102.1
2018-6-30,Thunderstorm Wind,45.0,-72.9
2018-6-30,Thunderstorm Wind,44.7,-72.7
2018-6-6,Tornado,40.9,-101.8
2018-6-9,Thunderstorm Wind,36.7,-84.5
2018-6-11,Thunderstorm Wind,36.9,-84.3
2018-6-22,Thunderstorm Wind,37.7,-82.3
2018-6-22,Thunderstorm Wind,37.6,-83.4
2018-6-6,Thunderstorm Wind,40.8,-102.0
2018-6-6,Thunderstorm Wind,40.8,-102.0
2018-6-6,Thunderstorm Wind,40.6,-102.0
2018-6-6,Thunderstorm Wind,41.1,-101.8
2018-5-4,Flash Flood,44.7,-72.0
2018-9-8,Flood,40.0,-84.1
2018-9-2,Thunderstorm Wind,30.8,-85.2
2018-5-10,Flood,46.2,-112.1
2018-5-18,Lightning,37.1,-84.6
2018-5-23,Funnel Cloud,29.5,-95.5
2018-5-15,Hail,40.4,-78.6
2018-5-15,Thunderstorm Wind,40.1,-84.0
2018-5-10,Thunderstorm Wind,40.6,-77.6
2018-5-12,Flood,43.1,-94.8
2018-5-14,Hail,40.7,-93.8
2018-5-13,Flood,42.7,-94.2
2018-5-24,Flood,43.3,-94.8
2018-5-4,Hail,44.7,-75.0
2018-5-4,Thunderstorm Wind,44.4,-75.2
2018-5-4,Thunderstorm Wind,44.9,-74.3
2018-5-4,Thunderstorm Wind,44.7,-74.3
2018-5-4,Thunderstorm Wind,44.8,-74.5
2018-5-4,Thunderstorm Wind,44.4,-74.3
2018-5-4,Thunderstorm Wind,44.4,-74.1
2018-5-4,Thunderstorm Wind,44.4,-74.1
2018-5-4,Thunderstorm Wind,43.9,-73.4
2018-5-4,Thunderstorm Wind,44.5,-73.6
2018-5-16,Flash Flood,38.1,-84.0
2018-5-4,Hail,44.5,-73.5
2018-5-7,Hail,36.9,-83.1
2018-5-15,Hail,37.2,-82.7
2018-5-16,Flash Flood,38.2,-83.4
2018-6-8,Hail,42.9,-101.3
2018-6-8,Hail,42.8,-102.2
2018-6-8,Thunderstorm Wind,43.0,-101.7
2018-6-8,Thunderstorm Wind,42.8,-101.0
2018-5-16,Flash Flood,38.1,-83.2
2018-5-18,Flash Flood,38.0,-83.1
2018-5-18,Flash Flood,37.7,-83.1
2018-5-18,Debris Flow,37.1,-83.1
2018-5-27,Thunderstorm Wind,38.2,-83.4
2018-5-19,Hail,37.8,-84.0
2018-5-5,Hail,44.9,-117.9
2018-5-18,Funnel Cloud,44.5,-115.9
2018-5-25,Hail,42.0,-118.6
2018-5-25,Thunderstorm Wind,43.6,-119.1
2018-2-21,Flash Flood,32.7,-92.0
2018-5-25,Hail,45.0,-116.3
2018-5-30,Hail,42.4,-114.1
2018-5-25,Hail,43.6,-116.7
2018-5-20,Thunderstorm Wind,28.5,-98.2
2018-1-22,Thunderstorm Wind,37.6,-90.8
2018-5-20,Marine Thunderstorm Wind,27.5,-97.3
2018-5-20,Marine Thunderstorm Wind,27.3,-97.4
2018-5-18,Hail,29.3,-82.9
2018-5-24,Marine Thunderstorm Wind,27.7,-82.6
2018-6-1,Thunderstorm Wind,32.6,-101.4
2018-6-25,Flood,42.4,-71.3
2018-5-30,Tornado,27.2,-81.7
2018-5-28,Marine Thunderstorm Wind,27.6,-82.8
2018-5-17,Flood,27.9,-82.1
2018-5-24,Marine Thunderstorm Wind,27.9,-82.5
2018-5-28,Marine Thunderstorm Wind,28.2,-82.8
2018-2-7,Tornado,32.4,-88.9
2018-5-6,Hail,39.1,-84.3
2018-9-26,Flash Flood,31.6,-91.4
2018-5-26,Marine Hail,45.3,-87.4
2018-5-12,Hail,40.0,-82.9
2018-5-6,Thunderstorm Wind,39.1,-84.4
2018-5-12,Thunderstorm Wind,39.9,-83.5
2018-5-13,Hail,39.4,-84.7
2018-5-13,Thunderstorm Wind,39.5,-82.5
2018-5-13,Hail,39.5,-83.4
2018-5-13,Thunderstorm Wind,39.5,-83.3
2018-5-13,Thunderstorm Wind,39.5,-84.7
2018-5-13,Thunderstorm Wind,39.5,-83.8
2018-5-16,Flood,39.2,-84.7
2018-5-16,Flash Flood,38.4,-83.3
2018-5-5,Flood,61.5,-160.4
2018-5-31,Thunderstorm Wind,38.6,-84.7
2018-5-26,Thunderstorm Wind,38.8,-82.9
2018-5-26,Thunderstorm Wind,39.1,-84.6
2018-5-27,Flash Flood,39.6,-82.5
2018-5-27,Flash Flood,39.6,-82.5
2018-5-31,Thunderstorm Wind,38.7,-84.8
2018-5-31,Thunderstorm Wind,38.6,-84.8
2018-5-31,Thunderstorm Wind,39.0,-84.5
2018-5-31,Thunderstorm Wind,39.1,-84.7
2018-5-31,Thunderstorm Wind,38.6,-83.6
2018-5-31,Thunderstorm Wind,38.7,-84.3
2018-5-31,Thunderstorm Wind,38.7,-84.1
2018-5-22,Hail,39.1,-84.5
2018-5-22,Thunderstorm Wind,39.1,-84.6
2018-5-22,Hail,39.1,-84.5
2018-5-27,Flood,39.6,-82.5
2018-5-27,Flood,39.6,-82.7
2018-5-31,Thunderstorm Wind,38.8,-84.9
2018-5-8,Flood,61.1,-161.0
2018-5-15,Thunderstorm Wind,41.5,-71.8
2018-5-15,Thunderstorm Wind,41.7,-71.6
2018-5-5,Flood,61.6,-159.6
2018-5-15,Thunderstorm Wind,41.9,-72.8
2018-5-15,Thunderstorm Wind,42.0,-72.2
2018-5-15,Thunderstorm Wind,42.0,-72.4
2018-2-20,Flood,42.5,-88.2
2018-2-19,Flood,43.2,-88.5
2018-5-28,Flash Flood,33.6,-79.0
2018-3-28,Hail,26.3,-98.8
2018-5-19,Flood,34.1,-78.1
2018-5-19,Flood,34.0,-78.0
2018-5-19,Flood,34.1,-78.1
2018-5-15,Thunderstorm Wind,41.8,-72.2
2018-5-15,Thunderstorm Wind,41.6,-72.9
2018-5-15,Thunderstorm Wind,41.6,-72.3
2018-5-19,Flood,34.1,-78.0
2018-5-19,Flood,34.2,-77.9
2018-5-19,Flood,34.1,-78.0
2018-3-29,Marine Strong Wind,26.6,-97.3
2018-5-28,Flash Flood,34.2,-78.1
2018-5-28,Flash Flood,34.1,-78.8
2018-5-28,Flash Flood,34.3,-78.8
2018-5-19,Flood,34.3,-77.8
2018-1-4,Marine High Wind,38.9,-75.0
2018-1-4,Marine High Wind,39.5,-74.3
2018-5-16,Thunderstorm Wind,29.6,-81.2
2018-5-16,Marine Thunderstorm Wind,30.3,-81.5
2018-2-20,Flood,42.7,-90.1
2018-2-19,Flood,43.2,-89.0
2018-5-15,Thunderstorm Wind,29.6,-82.5
2018-5-16,Thunderstorm Wind,30.0,-81.4
2018-2-20,Flood,42.8,-90.4
2018-2-20,Flood,43.5,-88.4
2018-2-20,Flood,42.6,-89.4
2018-2-19,Flood,43.2,-89.8
2018-5-16,Thunderstorm Wind,29.3,-81.3
2018-5-16,Thunderstorm Wind,29.3,-81.3
2018-1-4,Marine High Wind,38.8,-75.2
2018-1-4,Marine High Wind,38.7,-75.1
2018-1-15,Flood,40.2,-74.8
2018-3-18,Hail,36.1,-100.5
2018-3-18,Hail,36.1,-100.5
2018-2-25,Thunderstorm Wind,37.2,-84.6
2018-2-25,Thunderstorm Wind,37.4,-84.4
2018-3-18,Tornado,36.1,-100.3
2018-3-18,Tornado,36.1,-101.2
2018-2-20,Flood,42.8,-89.9
2018-2-20,Flood,42.6,-89.4
2018-2-21,Flood,42.7,-89.5
2018-2-20,Flood,42.6,-89.8
2018-2-20,Flood,43.3,-89.5
2018-2-20,Flood,42.5,-90.4
